entry,at,order
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:36:18.149Z,160636177815000
"""josh @ Cg8enqeOhO"" checks",2020-11-26T03:36:13.315Z,160636177331600
"""BDSuckout @ _9tNhnOi1R"" checks",2020-11-26T03:36:10.157Z,160636177015800
"""Brandon @ Y9MvZ7Zi7i"" checks",2020-11-26T03:36:09.251Z,160636176925100
"""jeff @ yIm_yy1dY4"" checks",2020-11-26T03:36:08.446Z,160636176844700
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:36:07.520Z,160636176752100
"flop:  [Q♣, 5♣, 10♠]",2020-11-26T03:35:59.256Z,160636175926000
"""jeff @ yIm_yy1dY4"" calls 2.00",2020-11-26T03:35:58.450Z,160636175845200
"""alex @ iZcKjjRQ7_"" calls 2.00",2020-11-26T03:35:56.380Z,160636175638000
"""Erik @ bOi-ETCegg"" calls 2.00",2020-11-26T03:35:54.538Z,160636175454000
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:35:53.679Z,160636175368000
"""josh @ Cg8enqeOhO"" calls 2.00",2020-11-26T03:35:45.499Z,160636174550000
"""BDSuckout @ _9tNhnOi1R"" calls 2.00",2020-11-26T03:35:43.884Z,160636174388500
"""Brandon @ Y9MvZ7Zi7i"" raises to 2.00",2020-11-26T03:35:42.777Z,160636174277800
"""jeff @ yIm_yy1dY4"" posts a big blind of 1.00",2020-11-26T03:35:29.309Z,160636172931111
"""alex @ iZcKjjRQ7_"" posts a small blind of 0.50",2020-11-26T03:35:29.309Z,160636172931110
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (556.81) | #3 ""josh @ Cg8enqeOhO"" (611.12) | #4 ""Ravi @ ox-gnCkjtQ"" (414.50) | #5 ""Erik @ bOi-ETCegg"" (218.00) | #6 ""alex @ iZcKjjRQ7_"" (441.50) | #8 ""jeff @ yIm_yy1dY4"" (148.00) | #9 ""Brandon @ Y9MvZ7Zi7i"" (726.08)",2020-11-26T03:35:29.309Z,160636172931102
"-- starting hand #383  (Pot Limit Omaha Hi) (dealer: ""Erik @ bOi-ETCegg"") --",2020-11-26T03:35:29.309Z,160636172931101
"The player ""Austin @ J177rrX9xq"" stand up with the stack of 768.77.",2020-11-26T03:35:29.309Z,160636172931100
"""alex @ iZcKjjRQ7_"" shows a 2♠, A♣, 7♦, 8♦.",2020-11-26T03:35:25.981Z,160636172598200
"-- ending hand #382 --",2020-11-26T03:35:25.676Z,160636172567702
"""alex @ iZcKjjRQ7_"" collected 64.00 from pot",2020-11-26T03:35:25.676Z,160636172567701
"Uncalled bet of 20.00 returned to ""alex @ iZcKjjRQ7_""",2020-11-26T03:35:25.676Z,160636172567700
"""Erik @ bOi-ETCegg"" folds",2020-11-26T03:35:24.865Z,160636172486600
"""alex @ iZcKjjRQ7_"" bets 20.00",2020-11-26T03:34:33.041Z,160636167304200
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:34:28.024Z,160636166802500
"river: 2♦, 7♣, 2♥, 7♠ [6♣]",2020-11-26T03:34:23.994Z,160636166401100
"""Erik @ bOi-ETCegg"" calls 16.00",2020-11-26T03:34:23.189Z,160636166319000
"""alex @ iZcKjjRQ7_"" bets 16.00",2020-11-26T03:34:14.807Z,160636165480700
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:34:07.298Z,160636164729900
"turn: 2♦, 7♣, 2♥ [7♠]",2020-11-26T03:34:05.712Z,160636164572200
"""Erik @ bOi-ETCegg"" calls 8.00",2020-11-26T03:34:04.904Z,160636164490500
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:33:57.692Z,160636163769300
"""josh @ Cg8enqeOhO"" folds",2020-11-26T03:33:48.019Z,160636162802000
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-26T03:33:39.324Z,160636161932400
"""Austin @ J177rrX9xq"" folds",2020-11-26T03:33:38.459Z,160636161846000
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-11-26T03:33:36.951Z,160636161695100
"""jeff @ yIm_yy1dY4"" folds",2020-11-26T03:33:31.377Z,160636161137800
"""alex @ iZcKjjRQ7_"" bets 8.00",2020-11-26T03:33:29.888Z,160636160988800
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:33:21.793Z,160636160179400
"flop:  [2♦, 7♣, 2♥]",2020-11-26T03:33:18.216Z,160636159821800
"""alex @ iZcKjjRQ7_"" calls 2.00",2020-11-26T03:33:17.404Z,160636159740600
"""Erik @ bOi-ETCegg"" calls 2.00",2020-11-26T03:33:15.733Z,160636159573400
"""Ravi @ ox-gnCkjtQ"" calls 2.00",2020-11-26T03:33:14.852Z,160636159485300
"""josh @ Cg8enqeOhO"" calls 2.00",2020-11-26T03:33:13.705Z,160636159370600
"""BDSuckout @ _9tNhnOi1R"" calls 2.00",2020-11-26T03:33:10.715Z,160636159071600
"""Austin @ J177rrX9xq"" calls 2.00",2020-11-26T03:33:09.780Z,160636158978100
"""Brandon @ Y9MvZ7Zi7i"" calls 2.00",2020-11-26T03:33:08.152Z,160636158815200
"""jeff @ yIm_yy1dY4"" raises to 2.00",2020-11-26T03:33:03.483Z,160636158348400
"""alex @ iZcKjjRQ7_"" posts a big blind of 1.00",2020-11-26T03:32:58.415Z,160636157852814
"""Erik @ bOi-ETCegg"" posts a small blind of 0.50",2020-11-26T03:32:58.415Z,160636157852813
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (558.81) | #3 ""josh @ Cg8enqeOhO"" (613.12) | #4 ""Ravi @ ox-gnCkjtQ"" (416.50) | #5 ""Erik @ bOi-ETCegg"" (244.00) | #6 ""alex @ iZcKjjRQ7_"" (403.50) | #8 ""jeff @ yIm_yy1dY4"" (150.00) | #9 ""Brandon @ Y9MvZ7Zi7i"" (728.08) | #10 ""Austin @ J177rrX9xq"" (770.77)",2020-11-26T03:32:58.415Z,160636157852804
"-- starting hand #382  (Pot Limit Omaha Hi) (dealer: ""Ravi @ ox-gnCkjtQ"") --",2020-11-26T03:32:58.415Z,160636157852803
"The player ""jeff @ yIm_yy1dY4"" joined the game with a stack of 150.00.",2020-11-26T03:32:58.415Z,160636157852802
"The player ""Rahul @ _9MBM7fTzu"" quits the game with a stack of 127.05.",2020-11-26T03:32:58.415Z,160636157852801
"The player ""adai @ U22kNJeD9r"" quits the game with a stack of 309.56.",2020-11-26T03:32:58.415Z,160636157852800
"""Brandon @ Y9MvZ7Zi7i"" shows a 6♣, 7♣, 6♠, 3♦.",2020-11-26T03:32:55.045Z,160636157504500
"-- ending hand #381 --",2020-11-26T03:32:50.778Z,160636157078703
"""BDSuckout @ _9tNhnOi1R"" shows a 7♠, 7♦, 6♦, Q♠.",2020-11-26T03:32:50.778Z,160636157078702
"""josh @ Cg8enqeOhO"" collected 240.00 from pot with Full House (combination: 9♥, 9♣, 9♠, 10♦, 10♥)",2020-11-26T03:32:50.778Z,160636157078701
"""josh @ Cg8enqeOhO"" shows a A♥, 9♥, K♦, 9♣.",2020-11-26T03:32:50.778Z,160636157078700
"""josh @ Cg8enqeOhO"" calls 80.00",2020-11-26T03:32:49.968Z,160636156996900
"""BDSuckout @ _9tNhnOi1R"" bets 80.00",2020-11-26T03:32:42.302Z,160636156230200
"river: A♠, 10♦, 9♠, 6♥ [10♥]",2020-11-26T03:32:36.289Z,160636155630600
"""josh @ Cg8enqeOhO"" calls 20.00",2020-11-26T03:32:35.483Z,160636155548400
"""BDSuckout @ _9tNhnOi1R"" bets 20.00",2020-11-26T03:32:31.744Z,160636155174400
"turn: A♠, 10♦, 9♠ [6♥]",2020-11-26T03:32:27.007Z,160636154702700
"""Austin @ J177rrX9xq"" folds",2020-11-26T03:32:26.201Z,160636154620200
"""alex @ iZcKjjRQ7_"" folds",2020-11-26T03:32:25.114Z,160636154511500
"""Erik @ bOi-ETCegg"" folds",2020-11-26T03:32:22.524Z,160636154252400
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:32:15.869Z,160636153586900
"""josh @ Cg8enqeOhO"" calls 12.00",2020-11-26T03:32:09.591Z,160636152959200
"""Rahul @ _9MBM7fTzu"" folds",2020-11-26T03:32:06.884Z,160636152688500
"""BDSuckout @ _9tNhnOi1R"" bets 12.00",2020-11-26T03:32:02.468Z,160636152246800
"""Austin @ J177rrX9xq"" checks",2020-11-26T03:31:56.943Z,160636151694300
"""adai @ U22kNJeD9r"" folds",2020-11-26T03:31:54.397Z,160636151439700
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:31:53.490Z,160636151349000
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:31:49.728Z,160636150972900
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:31:48.046Z,160636150804700
"The admin approved the player ""jeff @ yIm_yy1dY4"" participation with a stack of 150.00.",2020-11-26T03:31:45.915Z,160636150591900
"flop:  [A♠, 10♦, 9♠]",2020-11-26T03:31:37.171Z,160636149717300
"The player ""jeff @ yIm_yy1dY4"" requested a seat.",2020-11-26T03:31:37.051Z,160636149705200
"""Erik @ bOi-ETCegg"" calls 2.00",2020-11-26T03:31:36.360Z,160636149636100
"""Ravi @ ox-gnCkjtQ"" calls 2.00",2020-11-26T03:31:35.496Z,160636149549900
"""josh @ Cg8enqeOhO"" calls 2.00",2020-11-26T03:31:33.985Z,160636149398600
"""Rahul @ _9MBM7fTzu"" calls 2.00",2020-11-26T03:31:33.018Z,160636149301900
"""BDSuckout @ _9tNhnOi1R"" calls 2.00",2020-11-26T03:31:26.370Z,160636148637100
"""Austin @ J177rrX9xq"" calls 2.00",2020-11-26T03:31:25.010Z,160636148501100
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-11-26T03:31:10.179Z,160636147017900
"""adai @ U22kNJeD9r"" calls 2.00",2020-11-26T03:31:09.336Z,160636146933600
"""alex @ iZcKjjRQ7_"" raises to 2.00",2020-11-26T03:31:06.224Z,160636146622500
"""Erik @ bOi-ETCegg"" posts a big blind of 1.00",2020-11-26T03:31:02.100Z,160636146210513
"""Ravi @ ox-gnCkjtQ"" posts a small blind of 0.50",2020-11-26T03:31:02.100Z,160636146210512
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (672.81) | #2 ""Rahul @ _9MBM7fTzu"" (129.05) | #3 ""josh @ Cg8enqeOhO"" (487.12) | #4 ""Ravi @ ox-gnCkjtQ"" (418.50) | #5 ""Erik @ bOi-ETCegg"" (246.00) | #6 ""alex @ iZcKjjRQ7_"" (405.50) | #7 ""adai @ U22kNJeD9r"" (311.56) | #9 ""Brandon @ Y9MvZ7Zi7i"" (728.08) | #10 ""Austin @ J177rrX9xq"" (772.77)",2020-11-26T03:31:02.100Z,160636146210502
"-- starting hand #381  (Pot Limit Omaha Hi) (dealer: ""josh @ Cg8enqeOhO"") --",2020-11-26T03:31:02.100Z,160636146210501
"The player ""jeff @ yIm_yy1dY4"" quits the game with a stack of 0.00.",2020-11-26T03:31:02.100Z,160636146210500
"""alex @ iZcKjjRQ7_"" shows a Q♠, 8♠, 2♠, 3♦.",2020-11-26T03:30:58.373Z,160636145837400
"-- ending hand #380 --",2020-11-26T03:30:55.568Z,160636145558001
"""Brandon @ Y9MvZ7Zi7i"" collected 728.08 from pot with Full House (combination: K♦, K♠, K♣, J♠, J♦)",2020-11-26T03:30:55.568Z,160636145558000
"river: A♦, K♠, J♦, 9♣ [K♣]",2020-11-26T03:30:52.519Z,160636145254600
"turn: A♦, K♠, J♦ [9♣]",2020-11-26T03:30:49.477Z,160636144948300
"""Austin @ J177rrX9xq"" shows a 10♦, 2♦, Q♥, 7♥.",2020-11-26T03:30:46.458Z,160636144645802
"""Brandon @ Y9MvZ7Zi7i"" shows a J♠, 5♦, 7♠, K♦.",2020-11-26T03:30:46.458Z,160636144645801
"""jeff @ yIm_yy1dY4"" shows a 9♦, 7♦, Q♦, 10♠.",2020-11-26T03:30:46.458Z,160636144645800
"""Austin @ J177rrX9xq"" calls 281.04",2020-11-26T03:30:45.648Z,160636144564900
"""Brandon @ Y9MvZ7Zi7i"" raises to 281.04 and go all in",2020-11-26T03:29:57.767Z,160636139776800
"""jeff @ yIm_yy1dY4"" raises to 146.00 and go all in",2020-11-26T03:29:52.506Z,160636139250600
"""alex @ iZcKjjRQ7_"" folds",2020-11-26T03:29:44.247Z,160636138424700
"""Erik @ bOi-ETCegg"" folds",2020-11-26T03:29:43.356Z,160636138335700
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:29:42.484Z,160636138248500
"""josh @ Cg8enqeOhO"" folds",2020-11-26T03:29:32.862Z,160636137286300
"""Rahul @ _9MBM7fTzu"" folds",2020-11-26T03:29:31.917Z,160636137191800
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-26T03:29:25.680Z,160636136568100
"""Austin @ J177rrX9xq"" raises to 52.00",2020-11-26T03:29:20.886Z,160636136088700
"""Brandon @ Y9MvZ7Zi7i"" calls 8.00",2020-11-26T03:29:16.895Z,160636135689600
"""jeff @ yIm_yy1dY4"" bets 8.00",2020-11-26T03:29:14.781Z,160636135478200
"""adai @ U22kNJeD9r"" folds",2020-11-26T03:29:06.134Z,160636134613400
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:28:57.317Z,160636133731800
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:28:55.053Z,160636133505300
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:28:53.988Z,160636133398900
"""josh @ Cg8enqeOhO"" checks",2020-11-26T03:28:51.546Z,160636133154600
"flop:  [A♦, K♠, J♦]",2020-11-26T03:28:48.367Z,160636132836900
"""Ravi @ ox-gnCkjtQ"" calls 2.00",2020-11-26T03:28:47.561Z,160636132756200
"""josh @ Cg8enqeOhO"" calls 2.00",2020-11-26T03:28:42.172Z,160636132217300
"""Rahul @ _9MBM7fTzu"" calls 2.00",2020-11-26T03:28:39.743Z,160636131974400
"""BDSuckout @ _9tNhnOi1R"" calls 2.00",2020-11-26T03:28:37.594Z,160636131759500
"""Austin @ J177rrX9xq"" calls 2.00",2020-11-26T03:28:35.761Z,160636131576200
"""Brandon @ Y9MvZ7Zi7i"" calls 2.00",2020-11-26T03:28:34.889Z,160636131489000
"""jeff @ yIm_yy1dY4"" calls 2.00",2020-11-26T03:28:34.049Z,160636131405300
"""adai @ U22kNJeD9r"" calls 2.00",2020-11-26T03:28:33.135Z,160636131313600
"""alex @ iZcKjjRQ7_"" calls 2.00",2020-11-26T03:28:32.189Z,160636131219000
"""Erik @ bOi-ETCegg"" raises to 2.00",2020-11-26T03:28:30.828Z,160636131082900
"""Ravi @ ox-gnCkjtQ"" posts a big blind of 1.00",2020-11-26T03:28:20.675Z,160636130067713
"""josh @ Cg8enqeOhO"" posts a small blind of 0.50",2020-11-26T03:28:20.675Z,160636130067712
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (674.81) | #2 ""Rahul @ _9MBM7fTzu"" (131.05) | #3 ""josh @ Cg8enqeOhO"" (489.12) | #4 ""Ravi @ ox-gnCkjtQ"" (420.50) | #5 ""Erik @ bOi-ETCegg"" (248.00) | #6 ""alex @ iZcKjjRQ7_"" (407.50) | #7 ""adai @ U22kNJeD9r"" (313.56) | #8 ""jeff @ yIm_yy1dY4"" (148.00) | #9 ""Brandon @ Y9MvZ7Zi7i"" (283.04) | #10 ""Austin @ J177rrX9xq"" (1055.81)",2020-11-26T03:28:20.675Z,160636130067701
"-- starting hand #380  (Pot Limit Omaha Hi) (dealer: ""Rahul @ _9MBM7fTzu"") --",2020-11-26T03:28:20.675Z,160636130067700
"-- ending hand #379 --",2020-11-26T03:28:17.740Z,160636129774102
"""Brandon @ Y9MvZ7Zi7i"" collected 20.00 from pot",2020-11-26T03:28:17.740Z,160636129774101
"Uncalled bet of 10.00 returned to ""Brandon @ Y9MvZ7Zi7i""",2020-11-26T03:28:17.740Z,160636129774100
"""jeff @ yIm_yy1dY4"" folds",2020-11-26T03:28:16.933Z,160636129693400
"""adai @ U22kNJeD9r"" folds",2020-11-26T03:28:16.023Z,160636129602400
"""alex @ iZcKjjRQ7_"" folds",2020-11-26T03:28:15.117Z,160636129511800
"""Erik @ bOi-ETCegg"" folds",2020-11-26T03:28:12.592Z,160636129259300
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:28:09.580Z,160636128958100
"""josh @ Cg8enqeOhO"" folds",2020-11-26T03:28:06.405Z,160636128640600
"""Rahul @ _9MBM7fTzu"" folds",2020-11-26T03:27:55.955Z,160636127595600
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-26T03:27:54.972Z,160636127497200
"""Austin @ J177rrX9xq"" folds",2020-11-26T03:27:54.098Z,160636127409900
"""Brandon @ Y9MvZ7Zi7i"" bets 10.00",2020-11-26T03:27:50.840Z,160636127084100
"""jeff @ yIm_yy1dY4"" checks",2020-11-26T03:27:45.142Z,160636126514300
"""adai @ U22kNJeD9r"" checks",2020-11-26T03:27:44.229Z,160636126423000
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:27:43.323Z,160636126332300
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:27:41.957Z,160636126195800
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:27:39.833Z,160636125983400
"""josh @ Cg8enqeOhO"" checks",2020-11-26T03:27:38.352Z,160636125835300
"""Rahul @ _9MBM7fTzu"" checks",2020-11-26T03:27:35.837Z,160636125584100
"flop:  [6♥, 6♣, 9♦]",2020-11-26T03:27:33.563Z,160636125356600
"""josh @ Cg8enqeOhO"" calls 2.00",2020-11-26T03:27:32.759Z,160636125275900
"""Rahul @ _9MBM7fTzu"" calls 2.00",2020-11-26T03:27:31.455Z,160636125145500
"""BDSuckout @ _9tNhnOi1R"" calls 2.00",2020-11-26T03:27:30.490Z,160636125049000
"""Austin @ J177rrX9xq"" calls 2.00",2020-11-26T03:27:29.615Z,160636124961600
"""Brandon @ Y9MvZ7Zi7i"" calls 2.00",2020-11-26T03:27:28.747Z,160636124874800
"""jeff @ yIm_yy1dY4"" calls 2.00",2020-11-26T03:27:27.885Z,160636124788600
"""adai @ U22kNJeD9r"" calls 2.00",2020-11-26T03:27:26.967Z,160636124696800
"""alex @ iZcKjjRQ7_"" calls 2.00",2020-11-26T03:27:25.814Z,160636124581500
"""Erik @ bOi-ETCegg"" calls 2.00",2020-11-26T03:27:12.636Z,160636123263700
"""Ravi @ ox-gnCkjtQ"" raises to 2.00",2020-11-26T03:27:10.601Z,160636123060200
"""josh @ Cg8enqeOhO"" posts a big blind of 1.00",2020-11-26T03:26:51.696Z,160636121170215
"""Rahul @ _9MBM7fTzu"" posts a small blind of 0.50",2020-11-26T03:26:51.696Z,160636121170214
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (676.81) | #2 ""Rahul @ _9MBM7fTzu"" (133.05) | #3 ""josh @ Cg8enqeOhO"" (491.12) | #4 ""Ravi @ ox-gnCkjtQ"" (422.50) | #5 ""Erik @ bOi-ETCegg"" (250.00) | #6 ""alex @ iZcKjjRQ7_"" (409.50) | #7 ""adai @ U22kNJeD9r"" (315.56) | #8 ""jeff @ yIm_yy1dY4"" (150.00) | #9 ""Brandon @ Y9MvZ7Zi7i"" (265.04) | #10 ""Austin @ J177rrX9xq"" (1057.81)",2020-11-26T03:26:51.696Z,160636121170203
"-- starting hand #379  (Pot Limit Omaha Hi) (dealer: ""BDSuckout @ _9tNhnOi1R"") --",2020-11-26T03:26:51.696Z,160636121170202
"The player ""Erik @ bOi-ETCegg"" joined the game with a stack of 250.00.",2020-11-26T03:26:51.696Z,160636121170201
"The admin updated the player ""jeff @ yIm_yy1dY4"" stack from 89.50 to 150.00.",2020-11-26T03:26:51.696Z,160636121170200
"""alex @ iZcKjjRQ7_"" shows a 4♦, 4♣, 6♥, 9♥.",2020-11-26T03:26:47.274Z,160636120727500
"-- ending hand #378 --",2020-11-26T03:26:44.176Z,160636120418403
"""BDSuckout @ _9tNhnOi1R"" shows a 9♠, 2♦, 8♠, 10♦.",2020-11-26T03:26:44.176Z,160636120418402
"""josh @ Cg8enqeOhO"" collected 150.00 from pot with Flush (combination: K♥, J♥, 8♥, 4♥, 3♥)",2020-11-26T03:26:44.176Z,160636120418401
"""josh @ Cg8enqeOhO"" shows a 8♥, 10♠, 4♠, K♥.",2020-11-26T03:26:44.176Z,160636120418400
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:26:43.372Z,160636120337300
"""josh @ Cg8enqeOhO"" checks",2020-11-26T03:26:40.039Z,160636120004000
"""BDSuckout @ _9tNhnOi1R"" checks",2020-11-26T03:26:38.894Z,160636119889500
"river: 4♥, J♥, 8♣, 2♣ [3♥]",2020-11-26T03:26:36.881Z,160636119689300
"""josh @ Cg8enqeOhO"" calls 35.00",2020-11-26T03:26:36.075Z,160636119607600
"""BDSuckout @ _9tNhnOi1R"" calls 35.00",2020-11-26T03:26:29.974Z,160636118997500
"The admin approved the player ""Erik @ bOi-ETCegg"" participation with a stack of 250.00.",2020-11-26T03:26:29.110Z,160636118912600
"""alex @ iZcKjjRQ7_"" bets 35.00",2020-11-26T03:26:27.418Z,160636118741900
"""josh @ Cg8enqeOhO"" checks",2020-11-26T03:26:23.536Z,160636118353900
"The player ""Erik @ bOi-ETCegg"" requested a seat.",2020-11-26T03:26:23.248Z,160636118324900
"WARNING: the admin queued the stack change for the player ""jeff @ yIm_yy1dY4"" reseting to 150.00 chips in the next hand.",2020-11-26T03:26:19.370Z,160636117937100
"""BDSuckout @ _9tNhnOi1R"" checks",2020-11-26T03:26:18.654Z,160636117865500
"turn: 4♥, J♥, 8♣ [2♣]",2020-11-26T03:26:16.833Z,160636117684000
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:26:16.025Z,160636117602600
"""josh @ Cg8enqeOhO"" calls 9.00",2020-11-26T03:26:10.323Z,160636117032400
"""Rahul @ _9MBM7fTzu"" folds",2020-11-26T03:26:01.300Z,160636116130100
"""BDSuckout @ _9tNhnOi1R"" calls 9.00",2020-11-26T03:25:59.659Z,160636115966000
"""Austin @ J177rrX9xq"" folds",2020-11-26T03:25:58.526Z,160636115852700
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-11-26T03:25:57.665Z,160636115766600
"""jeff @ yIm_yy1dY4"" folds",2020-11-26T03:25:56.794Z,160636115679500
"""adai @ U22kNJeD9r"" folds",2020-11-26T03:25:55.877Z,160636115587800
"""alex @ iZcKjjRQ7_"" bets 9.00",2020-11-26T03:25:52.438Z,160636115243900
