entry,at,order
"The player ""Erik @ bOi-ETCegg"" quits the game with a stack of 215.50.",2020-11-26T03:38:31.951Z,160636191196304
"The player ""Ravi @ ox-gnCkjtQ"" quits the game with a stack of 410.00.",2020-11-26T03:38:31.951Z,160636191196303
"The player ""alex @ iZcKjjRQ7_"" quits the game with a stack of 439.50.",2020-11-26T03:38:31.951Z,160636191196302
"The player ""josh @ Cg8enqeOhO"" stand up with the stack of 639.12.",2020-11-26T03:38:31.951Z,160636191196301
"The player ""BDSuckout @ _9tNhnOi1R"" stand up with the stack of 547.81.",2020-11-26T03:38:31.951Z,160636191196300
"-- ending hand #384 --",2020-11-26T03:38:29.026Z,160636190902602
"""Erik @ bOi-ETCegg"" collected 10.00 from pot",2020-11-26T03:38:29.026Z,160636190902601
"Uncalled bet of 10.00 returned to ""Erik @ bOi-ETCegg""",2020-11-26T03:38:29.026Z,160636190902600
"""Ravi @ ox-gnCkjtQ"" folds",2020-11-26T03:38:28.221Z,160636190822100
"""Erik @ bOi-ETCegg"" bets 10.00",2020-11-26T03:38:17.481Z,160636189748200
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:38:09.628Z,160636188962900
"river: 9♦, 5♣, 9♠, 4♥ [A♣]",2020-11-26T03:38:05.143Z,160636188515200
"""Erik @ bOi-ETCegg"" checks",2020-11-26T03:38:04.335Z,160636188433700
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:38:02.764Z,160636188276500
"turn: 9♦, 5♣, 9♠ [4♥]",2020-11-26T03:37:59.067Z,160636187907400
"""Ravi @ ox-gnCkjtQ"" calls 2.50",2020-11-26T03:37:58.262Z,160636187826300
"""Erik @ bOi-ETCegg"" bets 2.50",2020-11-26T03:37:56.634Z,160636187663600
"""Ravi @ ox-gnCkjtQ"" checks",2020-11-26T03:37:50.820Z,160636187082000
"flop:  [9♦, 5♣, 9♠]",2020-11-26T03:37:44.594Z,160636186459900
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-26T03:37:43.786Z,160636186378600
"""Erik @ bOi-ETCegg"" calls 2.00",2020-11-26T03:37:42.980Z,160636186298100
"""Ravi @ ox-gnCkjtQ"" raises to 2.00",2020-11-26T03:37:41.873Z,160636186187400
"""josh @ Cg8enqeOhO"" folds",2020-11-26T03:37:31.226Z,160636185122700
"""BDSuckout @ _9tNhnOi1R"" posts a big blind of 1.00",2020-11-26T03:37:24.024Z,160636184403310
"Dead Small Blind",2020-11-26T03:37:24.024Z,160636184403309
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (548.81) | #3 ""josh @ Cg8enqeOhO"" (639.12) | #4 ""Ravi @ ox-gnCkjtQ"" (414.50) | #5 ""Erik @ bOi-ETCegg"" (210.00)",2020-11-26T03:37:24.024Z,160636184403304
"-- starting hand #384  (Pot Limit Omaha Hi) (dead button) --",2020-11-26T03:37:24.024Z,160636184403303
"The player ""jeff @ yIm_yy1dY4"" quits the game with a stack of 140.00.",2020-11-26T03:37:24.024Z,160636184403302
"The player ""Brandon @ Y9MvZ7Zi7i"" quits the game with a stack of 724.08.",2020-11-26T03:37:24.024Z,160636184403301
"The player ""alex @ iZcKjjRQ7_"" stand up with the stack of 439.50.",2020-11-26T03:37:24.024Z,160636184403300
"-- ending hand #383 --",2020-11-26T03:37:21.076Z,160636184107602
"""josh @ Cg8enqeOhO"" collected 36.00 from pot",2020-11-26T03:37:21.076Z,160636184107601
"Uncalled bet of 30.00 returned to ""josh @ Cg8enqeOhO""",2020-11-26T03:37:21.076Z,160636184107600
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-26T03:37:20.267Z,160636184026800
"""jeff @ yIm_yy1dY4"" folds",2020-11-26T03:37:19.388Z,160636183938900
"""Erik @ bOi-ETCegg"" folds",2020-11-26T03:37:18.476Z,160636183847700
"""josh @ Cg8enqeOhO"" bets 30.00",2020-11-26T03:37:12.959Z,160636183296000
"""BDSuckout @ _9tNhnOi1R"" checks",2020-11-26T03:37:01.091Z,160636182109100
"""jeff @ yIm_yy1dY4"" checks",2020-11-26T03:37:00.226Z,160636182022600
"river: Q♣, 5♣, 10♠, 7♥ [2♣]",2020-11-26T03:36:58.682Z,160636181869300
"""BDSuckout @ _9tNhnOi1R"" calls 6.00",2020-11-26T03:36:57.873Z,160636181787400
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-11-26T03:36:55.449Z,160636181545000
"""jeff @ yIm_yy1dY4"" calls 6.00",2020-11-26T03:36:54.641Z,160636181464200
"""alex @ iZcKjjRQ7_"" folds",2020-11-26T03:36:46.655Z,160636180665600
"""Erik @ bOi-ETCegg"" calls 6.00",2020-11-26T03:36:45.607Z,160636180560800
"""josh @ Cg8enqeOhO"" bets 6.00",2020-11-26T03:36:36.048Z,160636179604900
"""BDSuckout @ _9tNhnOi1R"" checks",2020-11-26T03:36:31.832Z,160636179183200
"""Brandon @ Y9MvZ7Zi7i"" checks",2020-11-26T03:36:28.764Z,160636178876500
"""jeff @ yIm_yy1dY4"" checks",2020-11-26T03:36:27.959Z,160636178796000
"""alex @ iZcKjjRQ7_"" checks",2020-11-26T03:36:21.715Z,160636178171600
"turn: Q♣, 5♣, 10♠ [7♥]",2020-11-26T03:36:18.954Z,160636177895800
