entry,at,order
"The player ""jeffrey @ yIm_yy1dY4"" quits the game with a stack of 140.38.",2020-12-01T07:07:56.265Z,160680647626900
"The player ""jeffrey @ yIm_yy1dY4"" stand up with the stack of 140.38.",2020-12-01T07:07:26.477Z,160680644648300
"The player ""alexj @ u0sPDa9h4a"" quits the game with a stack of 465.99.",2020-12-01T07:07:23.676Z,160680644368201
"The player ""Brian @ hwE4Y0jEb1"" quits the game with a stack of 146.60.",2020-12-01T07:07:23.676Z,160680644368200
"-- ending hand #252 --",2020-12-01T07:07:20.764Z,160680644076502
"""jeffrey @ yIm_yy1dY4"" collected 1.00 from pot",2020-12-01T07:07:20.764Z,160680644076501
"Uncalled bet of 0.50 returned to ""jeffrey @ yIm_yy1dY4""",2020-12-01T07:07:20.764Z,160680644076500
"""Brian @ hwE4Y0jEb1"" folds",2020-12-01T07:07:19.956Z,160680643995600
"""alexj @ u0sPDa9h4a"" folds",2020-12-01T07:07:00.541Z,160680642054200
"""jeffrey @ yIm_yy1dY4"" posts a big blind of 1.00",2020-12-01T07:06:56.821Z,160680641682509
"""Brian @ hwE4Y0jEb1"" posts a small blind of 0.50",2020-12-01T07:06:56.821Z,160680641682508
"Player stacks: #1 ""jeffrey @ yIm_yy1dY4"" (139.88) | #3 ""alexj @ u0sPDa9h4a"" (465.99) | #5 ""Brian @ hwE4Y0jEb1"" (147.10)",2020-12-01T07:06:56.821Z,160680641682504
"-- starting hand #252  (No Limit Texas Hold'em) (dealer: ""alexj @ u0sPDa9h4a"") --",2020-12-01T07:06:56.821Z,160680641682503
"The player ""Brandon @ Y9MvZ7Zi7i"" quits the game with a stack of 613.36.",2020-12-01T07:06:56.821Z,160680641682502
"The player ""Brandon @ Y9MvZ7Zi7i"" stand up with the stack of 613.36.",2020-12-01T07:06:56.821Z,160680641682501
"The player ""ken @ Saixf2blen"" stand up with the stack of 152.55.",2020-12-01T07:06:56.821Z,160680641682500
"-- ending hand #251 --",2020-12-01T07:06:53.906Z,160680641390702
"""Brian @ hwE4Y0jEb1"" collected 14.00 from pot",2020-12-01T07:06:53.906Z,160680641390701
"Uncalled bet of 10.50 returned to ""Brian @ hwE4Y0jEb1""",2020-12-01T07:06:53.906Z,160680641390700
"""alexj @ u0sPDa9h4a"" folds",2020-12-01T07:06:53.095Z,160680641309600
"""Brian @ hwE4Y0jEb1"" bets 10.50",2020-12-01T07:06:52.211Z,160680641221200
"""alexj @ u0sPDa9h4a"" checks",2020-12-01T07:06:40.648Z,160680640064900
"turn: 9♥, 4♠, J♠ [6♣]",2020-12-01T07:06:38.688Z,160680639869200
"""alexj @ u0sPDa9h4a"" calls 3.00",2020-12-01T07:06:37.882Z,160680639788300
"""Brian @ hwE4Y0jEb1"" bets 3.00",2020-12-01T07:06:36.898Z,160680639689900
"""alexj @ u0sPDa9h4a"" checks",2020-12-01T07:06:27.942Z,160680638794200
"flop:  [9♥, 4♠, J♠]",2020-12-01T07:06:25.777Z,160680638577800
"""alexj @ u0sPDa9h4a"" calls 4.00",2020-12-01T07:06:24.972Z,160680638497200
"""Brian @ hwE4Y0jEb1"" raises to 4.00",2020-12-01T07:06:21.672Z,160680638167300
"""alexj @ u0sPDa9h4a"" calls 1.00",2020-12-01T07:06:14.965Z,160680637496500
"""jeffrey @ yIm_yy1dY4"" folds",2020-12-01T07:06:13.628Z,160680637362800
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-12-01T07:06:12.727Z,160680637272700
"""ken @ Saixf2blen"" folds",2020-12-01T07:06:11.854Z,160680637185400
"""Brian @ hwE4Y0jEb1"" posts a big blind of 1.00",2020-12-01T07:06:07.550Z,160680636755409
"""alexj @ u0sPDa9h4a"" posts a small blind of 0.50",2020-12-01T07:06:07.550Z,160680636755408
"Your hand is 8♣, J♣",2020-12-01T07:06:07.550Z,160680636755406
"Player stacks: #1 ""jeffrey @ yIm_yy1dY4"" (139.88) | #3 ""alexj @ u0sPDa9h4a"" (472.99) | #5 ""Brian @ hwE4Y0jEb1"" (140.10) | #7 ""ken @ Saixf2blen"" (152.55) | #9 ""Brandon @ Y9MvZ7Zi7i"" (613.36)",2020-12-01T07:06:07.550Z,160680636755402
"-- starting hand #251  (No Limit Texas Hold'em) (dealer: ""jeffrey @ yIm_yy1dY4"") --",2020-12-01T07:06:07.550Z,160680636755401
"The player ""Drab @ Ch0XcFPb2R"" quits the game with a stack of 248.38.",2020-12-01T07:06:07.550Z,160680636755400
"-- ending hand #250 --",2020-12-01T07:06:04.635Z,160680636463602
"""alexj @ u0sPDa9h4a"" collected 6.24 from pot",2020-12-01T07:06:04.635Z,160680636463601
"Uncalled bet of 1.50 returned to ""alexj @ u0sPDa9h4a""",2020-12-01T07:06:04.635Z,160680636463600
"""ken @ Saixf2blen"" folds",2020-12-01T07:06:03.827Z,160680636382800
"""alexj @ u0sPDa9h4a"" bets 1.50",2020-12-01T07:06:00.912Z,160680636091200
"river: 4♠, 9♠, Q♣, Q♠ [6♣]",2020-12-01T07:05:54.728Z,160680635473200
"""ken @ Saixf2blen"" checks",2020-12-01T07:05:53.920Z,160680635392100
"""alexj @ u0sPDa9h4a"" checks",2020-12-01T07:05:50.154Z,160680635015500
"turn: 4♠, 9♠, Q♣ [Q♠]",2020-12-01T07:05:47.813Z,160680634781400
"""ken @ Saixf2blen"" checks",2020-12-01T07:05:47.006Z,160680634700600
"""alexj @ u0sPDa9h4a"" checks",2020-12-01T07:05:43.140Z,160680634314100
"flop:  [4♠, 9♠, Q♣]",2020-12-01T07:05:41.499Z,160680634150000
"""alexj @ u0sPDa9h4a"" calls 2.87",2020-12-01T07:05:40.686Z,160680634068700
"""jeffrey @ yIm_yy1dY4"" folds",2020-12-01T07:05:38.768Z,160680633876900
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-12-01T07:05:37.543Z,160680633754400
"""ken @ Saixf2blen"" raises to 2.87",2020-12-01T07:05:36.683Z,160680633668600
"""Brian @ hwE4Y0jEb1"" folds",2020-12-01T07:05:34.232Z,160680633423300
"""Drab @ Ch0XcFPb2R"" folds",2020-12-01T07:05:33.343Z,160680633334400
"""alexj @ u0sPDa9h4a"" posts a big blind of 1.00",2020-12-01T07:05:28.378Z,160680632837909
"""jeffrey @ yIm_yy1dY4"" posts a small blind of 0.50",2020-12-01T07:05:28.378Z,160680632837908
"Your hand is 7♥, 8♥",2020-12-01T07:05:28.378Z,160680632837906
"Player stacks: #1 ""jeffrey @ yIm_yy1dY4"" (140.38) | #3 ""alexj @ u0sPDa9h4a"" (469.62) | #4 ""Drab @ Ch0XcFPb2R"" (248.38) | #5 ""Brian @ hwE4Y0jEb1"" (140.10) | #7 ""ken @ Saixf2blen"" (155.42) | #9 ""Brandon @ Y9MvZ7Zi7i"" (613.36)",2020-12-01T07:05:28.378Z,160680632837901
"-- starting hand #250  (No Limit Texas Hold'em) (dealer: ""Brandon @ Y9MvZ7Zi7i"") --",2020-12-01T07:05:28.378Z,160680632837900
"-- ending hand #249 --",2020-12-01T07:05:25.468Z,160680632546902
"""Brian @ hwE4Y0jEb1"" collected 2.50 from pot",2020-12-01T07:05:25.468Z,160680632546901
"Uncalled bet of 2.00 returned to ""Brian @ hwE4Y0jEb1""",2020-12-01T07:05:25.468Z,160680632546900
"""jeffrey @ yIm_yy1dY4"" folds",2020-12-01T07:05:24.661Z,160680632466200
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-12-01T07:05:20.893Z,160680632089400
"""ken @ Saixf2blen"" folds",2020-12-01T07:05:20.044Z,160680632004500
"""Brian @ hwE4Y0jEb1"" raises to 3.00",2020-12-01T07:05:18.736Z,160680631873700
"""Drab @ Ch0XcFPb2R"" folds",2020-12-01T07:05:13.891Z,160680631389100
"""alexj @ u0sPDa9h4a"" folds",2020-12-01T07:05:11.406Z,160680631140700
"""jeffrey @ yIm_yy1dY4"" posts a big blind of 1.00",2020-12-01T07:05:09.726Z,160680630973009
"""Brandon @ Y9MvZ7Zi7i"" posts a small blind of 0.50",2020-12-01T07:05:09.726Z,160680630973008
"Your hand is 6♦, Q♦",2020-12-01T07:05:09.726Z,160680630973006
"Player stacks: #1 ""jeffrey @ yIm_yy1dY4"" (141.38) | #3 ""alexj @ u0sPDa9h4a"" (469.62) | #4 ""Drab @ Ch0XcFPb2R"" (248.38) | #5 ""Brian @ hwE4Y0jEb1"" (138.60) | #7 ""ken @ Saixf2blen"" (155.42) | #9 ""Brandon @ Y9MvZ7Zi7i"" (613.86)",2020-12-01T07:05:09.726Z,160680630973001
"-- starting hand #249  (No Limit Texas Hold'em) (dealer: ""ken @ Saixf2blen"") --",2020-12-01T07:05:09.726Z,160680630973000
"-- ending hand #248 --",2020-12-01T07:05:06.813Z,160680630681402
"""ken @ Saixf2blen"" collected 2.00 from pot",2020-12-01T07:05:06.813Z,160680630681401
"Uncalled bet of 2.00 returned to ""ken @ Saixf2blen""",2020-12-01T07:05:06.813Z,160680630681400
"""Brandon @ Y9MvZ7Zi7i"" folds",2020-12-01T07:05:06.005Z,160680630600600
"""ken @ Saixf2blen"" raises to 3.00",2020-12-01T07:05:01.560Z,160680630156000
"""Brian @ hwE4Y0jEb1"" folds",2020-12-01T07:04:58.917Z,160680629891800
"""Drab @ Ch0XcFPb2R"" folds",2020-12-01T07:04:58.042Z,160680629804300
"""alexj @ u0sPDa9h4a"" folds",2020-12-01T07:04:56.273Z,160680629627400
"""jeffrey @ yIm_yy1dY4"" folds",2020-12-01T07:04:55.382Z,160680629538200
"""Brandon @ Y9MvZ7Zi7i"" posts a big blind of 1.00",2020-12-01T07:04:52.403Z,160680629240509
"""ken @ Saixf2blen"" posts a small blind of 0.50",2020-12-01T07:04:52.403Z,160680629240508
"Your hand is Q♠, K♦",2020-12-01T07:04:52.403Z,160680629240506
"Player stacks: #1 ""jeffrey @ yIm_yy1dY4"" (141.38) | #3 ""alexj @ u0sPDa9h4a"" (469.62) | #4 ""Drab @ Ch0XcFPb2R"" (248.38) | #5 ""Brian @ hwE4Y0jEb1"" (138.60) | #7 ""ken @ Saixf2blen"" (154.42) | #9 ""Brandon @ Y9MvZ7Zi7i"" (614.86)",2020-12-01T07:04:52.403Z,160680629240501
"-- starting hand #248  (No Limit Texas Hold'em) (dealer: ""Brian @ hwE4Y0jEb1"") --",2020-12-01T07:04:52.403Z,160680629240500
"-- ending hand #247 --",2020-12-01T07:04:49.480Z,160680628948102
"""ken @ Saixf2blen"" collected 1.00 from pot",2020-12-01T07:04:49.480Z,160680628948101
"Uncalled bet of 0.50 returned to ""ken @ Saixf2blen""",2020-12-01T07:04:49.480Z,160680628948100
"""Brian @ hwE4Y0jEb1"" folds",2020-12-01T07:04:48.673Z,160680628867400
"""Drab @ Ch0XcFPb2R"" folds",2020-12-01T07:04:47.410Z,160680628741100
