entry,at,order
"The player ""BDSuckout @ _9tNhnOi1R"" passed the room ownership to ""austin @ J177rrX9xq"".",2020-11-29T09:11:31.581Z,160664109158200
"The player ""BDSuckout @ _9tNhnOi1R"" quits the game with a stack of 0.00.",2020-11-29T09:06:10.621Z,160664077062600
"-- ending hand #152 --",2020-11-29T09:06:04.603Z,160664076460501
"""Rochan @ P0QrvaiQ24"" collected 202.98 from pot with Three of a Kind, J's (combination: J♣, J♦, J♠, 9♥, 8♣)",2020-11-29T09:06:04.603Z,160664076460500
"river: 2♦, J♦, J♠, 8♣ [5♥]",2020-11-29T09:06:01.555Z,160664076155700
"turn: 2♦, J♦, J♠ [8♣]",2020-11-29T09:05:58.530Z,160664075853100
"flop:  [2♦, J♦, J♠]",2020-11-29T09:05:55.526Z,160664075552700
"""Rochan @ P0QrvaiQ24"" shows a J♣, 9♥.",2020-11-29T09:05:52.501Z,160664075250202
"""BDSuckout @ _9tNhnOi1R"" shows a 6♠, A♠.",2020-11-29T09:05:52.501Z,160664075250201
"Uncalled bet of 33.05 returned to ""Rochan @ P0QrvaiQ24""",2020-11-29T09:05:52.501Z,160664075250200
"""BDSuckout @ _9tNhnOi1R"" calls 101.49 and go all in",2020-11-29T09:05:51.694Z,160664075169500
"""Rochan @ P0QrvaiQ24"" raises to 134.54 and go all in",2020-11-29T09:05:50.593Z,160664075059400
"""BDSuckout @ _9tNhnOi1R"" posts a big blind of 1.00",2020-11-29T09:05:47.609Z,160664074761005
"""Rochan @ P0QrvaiQ24"" posts a small blind of 0.50",2020-11-29T09:05:47.609Z,160664074761004
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (101.49) | #3 ""Rochan @ P0QrvaiQ24"" (134.54)",2020-11-29T09:05:47.609Z,160664074761001
"-- starting hand #152  (No Limit Texas Hold'em) (dealer: ""Rochan @ P0QrvaiQ24"") --",2020-11-29T09:05:47.609Z,160664074761000
"""Rochan @ P0QrvaiQ24"" shows a A♥, K♥.",2020-11-29T09:05:46.000Z,160664074600100
"-- ending hand #151 --",2020-11-29T09:05:43.967Z,160664074396802
"""Rochan @ P0QrvaiQ24"" collected 5.00 from pot",2020-11-29T09:05:43.967Z,160664074396801
"Uncalled bet of 129.54 returned to ""Rochan @ P0QrvaiQ24""",2020-11-29T09:05:43.967Z,160664074396800
"""BDSuckout @ _9tNhnOi1R"" folds",2020-11-29T09:05:43.160Z,160664074316100
"""Rochan @ P0QrvaiQ24"" raises to 132.04 and go all in",2020-11-29T09:05:41.165Z,160664074116600
"""BDSuckout @ _9tNhnOi1R"" raises to 2.50",2020-11-29T09:05:11.590Z,160664071159000
"""Rochan @ P0QrvaiQ24"" posts a big blind of 1.00",2020-11-29T09:04:52.522Z,160664069252606
"""BDSuckout @ _9tNhnOi1R"" posts a small blind of 0.50",2020-11-29T09:04:52.522Z,160664069252605
"Player stacks: #1 ""BDSuckout @ _9tNhnOi1R"" (103.99) | #3 ""Rochan @ P0QrvaiQ24"" (132.04)",2020-11-29T09:04:52.522Z,160664069252602
"-- starting hand #151  (No Limit Texas Hold'em) (dealer: ""BDSuckout @ _9tNhnOi1R"") --",2020-11-29T09:04:52.522Z,160664069252601
"The player ""Ali @ cv5oh807ya"" quits the game with a stack of 350.13.",2020-11-29T09:04:52.522Z,160664069252600
"-- ending hand #150 --",2020-11-29T09:04:49.614Z,160664068961502
"""BDSuckout @ _9tNhnOi1R"" collected 1.00 from pot",2020-11-29T09:04:49.614Z,160664068961501
"Uncalled bet of 0.50 returned to ""BDSuckout @ _9tNhnOi1R""",2020-11-29T09:04:49.614Z,160664068961500
"""Ali @ cv5oh807ya"" folds",2020-11-29T09:04:48.806Z,160664068880700
"""Rochan @ P0QrvaiQ24"" folds",2020-11-29T09:04:48.002Z,160664068800300
